date,event,discount
1/7/2025,Coptic Christmas Day,15%
1/25/2025,Revolution Day,25%
3/3/2025,Ramadan Begins,10%
4/10/2025,Eid al-Fitr,30%
4/11/2025,Eid al-Fitr Holiday,20%
4/25/2025,Sinai Liberation Day,15%
5/1/2025,Labor Day,20%
6/6/2025,Eid al-Adha,33%
6/7/2025,Eid al-Adha Holiday,40%
6/30/2025,June 30 Uprising,6%
7/23/2025,Revolution Day,10%
8/4/2025,Muharram/Islamic New Year,15%
8/17/2025,Prophet's Birthday,50%
10/6/2025,Armed Forces Day,32%
11/29/2025,Black Friday,55%
12/1/2025,Cyber Monday,20%
12/25/2025,Christmas Day,20%
